company,company_location,review_date,country_of_bean_origin,specific_bean_origin_or_bar_name,cocoa_percent,rating,counts_of_ingredients,cocoa_butter,vanilla,lecithin,salt,sugar,first_taste,second_taste
A. Morin,France,2012,Peru,Peru,63,3.75,4,have_cocoa_butter,have_not_vanila,have_lecithin,have_not_salt,have_sugar,fruity,melon
A. Morin,France,2012,Bolivia,Bolivia,70,3.5,4,have_cocoa_butter,have_not_vanila,have_lecithin,have_not_salt,have_sugar,vegetal,nutty
A. Morin,France,2013,Venezuela,Chuao,70,4,4,have_cocoa_butter,have_not_vanila,have_lecithin,have_not_salt,have_sugar,oily,nut
A. Morin,France,2013,Peru,Chanchamayo Province,63,4,3,have_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,sweet,cocoa
A. Morin,France,2013,Ecuador,Equateur,70,3.75,4,have_cocoa_butter,have_not_vanila,have_lecithin,have_not_salt,have_sugar,sandy,nutty
A. Morin,France,2013,Peru,Chanchamayo Province,70,3.5,4,have_cocoa_butter,have_not_vanila,have_lecithin,have_not_salt,have_sugar,cocoa,sour
A. Morin,France,2013,Brazil,Brazil,70,3.25,4,have_cocoa_butter,have_not_vanila,have_lecithin,have_not_salt,have_sugar,mild tobacco,vanilla
A. Morin,France,2013,Papua new guinea,Papua New Guinea,70,3.25,4,have_cocoa_butter,have_not_vanila,have_lecithin,have_not_salt,have_sugar,mild fruit,strong smoke
A. Morin,France,2013,Peru,Piura,70,3.25,4,have_cocoa_butter,have_not_vanila,have_lecithin,have_not_salt,have_sugar,green,nutty
A. Morin,France,2013,Madagascar,"Madagascar, Criollo",70,3,4,have_cocoa_butter,have_not_vanila,have_lecithin,have_not_salt,have_sugar,sticky,red fruit
A. Morin,France,2013,Burma,Birmanie,70,3,4,have_cocoa_butter,have_not_vanila,have_lecithin,have_not_salt,have_sugar,sticky,smokey
A. Morin,France,2013,Panama,Panama,70,2.75,4,have_cocoa_butter,have_not_vanila,have_lecithin,have_not_salt,have_sugar,brief fruit note,earthy
A. Morin,France,2013,Colombia,Colombie,70,2.75,4,have_cocoa_butter,have_not_vanila,have_lecithin,have_not_salt,have_sugar,burnt rubber,alkalyzed notes
A. Morin,France,2014,Peru,Pablino,70,4,4,have_cocoa_butter,have_not_vanila,have_lecithin,have_not_salt,have_sugar,delicate,hazelnut
A. Morin,France,2014,Venezuela,"Puerto Cabello, Criollo",70,3.75,4,have_cocoa_butter,have_not_vanila,have_lecithin,have_not_salt,have_sugar,astringent,nutty
A. Morin,France,2014,Cuba,Cuba,70,3.5,4,have_cocoa_butter,have_not_vanila,have_lecithin,have_not_salt,have_sugar,sliglty dry,papaya
A. Morin,France,2014,Venezuela,"Sur del Lago, Criollo",70,3.5,4,have_cocoa_butter,have_not_vanila,have_lecithin,have_not_salt,have_sugar,nutty,mild choco
A. Morin,France,2014,Venezuela,"Carenero, Criollo",70,2.75,4,have_cocoa_butter,have_not_vanila,have_lecithin,have_not_salt,have_sugar,harsh,leather
A. Morin,France,2015,Togo,Akata,70,3.5,4,have_cocoa_butter,have_not_vanila,have_lecithin,have_not_salt,have_sugar,mild profile,chocolaty
A. Morin,France,2015,Peru,Quilla,70,3.5,4,have_cocoa_butter,have_not_vanila,have_lecithin,have_not_salt,have_sugar,grainy texture,cocoa
A. Morin,France,2015,Togo,Atsane,70,3,4,have_cocoa_butter,have_not_vanila,have_lecithin,have_not_salt,have_sugar,roasty,acidic
A. Morin,France,2015,Togo,Kpime,70,2.75,4,have_cocoa_butter,have_not_vanila,have_lecithin,have_not_salt,have_sugar,burnt wood,earthy
A. Morin,France,2016,Sao tome,Agua Grande,63,3.75,4,have_cocoa_butter,have_not_vanila,have_lecithin,have_not_salt,have_sugar,sweet,chocolatey
A. Morin,France,2018,Peru,Absolu,63,3.75,4,have_cocoa_butter,have_not_vanila,have_lecithin,have_not_salt,have_sugar,sweet,dairy
A. Morin,France,2018,Venezuela,Porcelana,70,3.5,4,have_cocoa_butter,have_not_vanila,have_lecithin,have_not_salt,have_sugar,alluring aroma,powdery
Acalli,U.S.A,2015,Peru,"Chulucanas, El Platanal, batch 001",70,3.75,2,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,yellow fruit,vanilla
Acalli,U.S.A,2015,Peru,"Tumbes, Norandino",70,3.75,2,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,intense,nutty
Acalli,U.S.A,2020,Peru,"Barataria, El Plantal and Norandino Tumbes blend",70,3.5,2,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,hot cocoa,rich
Acalli,U.S.A,2020,Mexico,"Teapa, Tabasco, batch 2",74,3.25,2,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,herbal,molasses
Adi aka Fijiana (Easy In Ltd),Fiji,2011,Fiji,Vanua Levu,88,3.5,3,have_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,orange,floral
Adi aka Fijiana (Easy In Ltd),Fiji,2011,Fiji,"Vanua Levu, Ami-Ami-CA",72,3.5,3,have_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,cocoa and powerful tang,vanilla
Adi aka Fijiana (Easy In Ltd),Fiji,2011,Fiji,"Vanua Levu, Toto-A",80,3.25,3,have_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,spicy and candy-like,vanilla
Adi aka Fijiana (Easy In Ltd),Fiji,2011,Fiji,Vanua Levu,60,2.75,3,have_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,sweet,sublte strawberry
Aelan,Vanuatu,2019,Vanuatu,"EPI Island, batch E 11/19",70,3,2,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,sandy,woody
Aelan,Vanuatu,2019,Vanuatu,"Malo Island, batch Ma20/19",70,2.75,2,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,basic,sweet
Aelan,Vanuatu,2019,Vanuatu,"Santo Island, batch S15/19",70,2.75,2,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,sweet,cocoa
